Model Name,V_rated,Irated,Package,RthJC IGBT,RthJC Diode,RthCS,Blank,Tjrated,Vref,EonTjmax,hTjmax,kTjmax,xTjmax,EoffTjmax,mTjmax,nTjmax,yTjmax,VtTjmax,aTjmax,bTjmax,Er0Tjmax,d1Tjmax,d2Tjmax,VtdTjmax,adTjmax,bdTjmax,Eon,h,k,x,Eoff,m,n,y,Vt,a,b,Er0,d1,d2,Vtd,ad,bd,Include Model?,
Models_Random,,,,,,,,,,IGBT Parameters at Tjmax,,,,,,,,,,,Diode Parameters at Tjmax,,,,,,IGBT Parameters at 25°C,,,,,,,,,,,Diode Parameters at 25°C,Diode Parameters at 25°C,,,,,,
IRGB4064D,600,10,TO-220AB,1.49,3.66,2,,175,400,39.6311,18.4125,1.2009,,30.0373,9.59564,1.25018,,0.41415,0.3968,0.59694,,83.28767364,0.406111527,0.468851,0.289476,0.546391,15.0035,5.9192,1.35932,,20.6934,8.8707,0.910362,,0.600346,0.317434,0.505898,,21.784873,0.379207,0.701521,0.56511,0.358621,1,
IRGB4056D,600,12,TO-220AB,1.07,3.66,2,,175,400,,61.6949,0.70145,,,36.62011,0.85127,,0.34815,0.3959,0.59712,,81.48761565,0.37429887,0.497788,0.277513,0.576203,,20.8923,0.863595,,,17.9127,0.834046,,0.606315,0.23167,0.559388,,22.458229,0.406526,0.71789,0.587438,0.355268,1,
IRGS4056D,600,12,TO-263AB,1.07,2,35,,175,400,,63.2808,0.75261,,,38.64065,0.81554,,0.35254,0.36536,0.58719,,82.2003236,0.464728477,0.310543,0.31297,0.433494,,21.0049,0.854827,,,18.077,0.788867,,0.594324,0.225873,0.567614,,29.362443,0.446166,0.634058,0.55669,0.336063,1,
IRGB4061D,600,18,TO-220AB,0.73,2,2,,175,400,,66.844,0.71832,,,38.45597,0.84568,,0.3391,0.34184,0.54586,,80.70798769,0.456915562,0.326632,0.316843,0.465881,,22.2166,0.9006,,,19.1545,0.826381,,0.608036,0.19778,0.592386,,28.999063,0.462797,0.601275,0.534524,0.346389,1,
IRGS4062D,600,24,TO-263AB,0.6,1.53,35,,175,400,,72.5546,0.70768,,,41.52762,0.81885,,0.34457,0.28686,0.55234,,81.38117218,0.455348337,0.377516,0.18519,0.532883,,23.4544,0.843485,,,21.0891,0.781271,,0.569871,0.162214,0.576985,,32.680272,0.375273,0.713561,0.299648,0.365454,1,
IRGP4062D,600,24,TO-247AC,0.65,1.53,1,,175,400,,74.5323,0.7271,,,43.79518,0.79059,,0.34878,0.27916,0.54098,,83.89690702,0.461481957,0.376847,0.192832,0.494693,,23.2835,0.840839,,,21.1857,0.837742,,0.613877,0.160471,0.546677,,31.216698,0.359078,0.681984,0.308361,0.377194,1,
IRGB4062D,600,24,TO-220AB,0.6,1.53,2,,175,400,,73.7235,0.7455,,,40.59834,0.82961,,0.36748,0.28684,0.57103,,78.8270931,0.463116107,0.383023,0.185783,0.526014,,24.0964,0.886711,,,19.7876,0.803348,,0.608731,0.153832,0.586144,,32.060503,0.382201,0.675556,0.292367,0.366804,1,
IRGP4640D,600,40,TO-247AC,0.6,1.62,1,,175,400,,72.8468,0.71635,,,40.8526,0.8312,,0.34351,0.26871,0.58351,,80.4,0.4303615,0.357121,0.183164,0.533472,,23.6075,0.891781,,,20.5058,0.834614,,0.588656,0.164778,0.559662,,30.548866,0.365935,0.674598,0.297013,0.376925,1,
IRGP4078D,600,50,TO-247AC,0.54,2.55,1,,150,400,,,,,57.5569,16.65,1.06663,,0.39525,0.21371,0.59906,,,,0.384542,0.142411,0.450235,,,,,30.7137,6.8015,1.211167,,0.648064,0.113843,0.60451,,,,0.591551,0.221737,0.327917,1,
IRGP4069D,600,35,TO-247AC,0.56,1,1,,175,400,,27.9848,1.03539,,,31.90053,0.98404,,0.33087,0.21326,0.59269,,645.682058,0.090190256,0.346097,0.170001,0.483821,,10.4575,0.984243,,,13.1336,1.097055,,0.614653,0.134991,0.571907,,398.847101,0.085421,0.644238,0.341365,0.363347,1,
